gene,M,Sp,R,S,n_cells,n_guides
LINC00518,10.960240364074707,0.0988096296787262,0.33566516432358934,0.13344816863536835,336,3
LRPAP1,12.197920799255371,0.11175034940242767,0.23256345376239698,0.40746229887008667,334,3
LRRC75A-AS1,14.70589542388916,0.12791980803012848,0.40108336489768176,0.09387879073619843,193,3
LY96,13.21678638458252,0.12345080077648163,0.1262985719291479,0.40034598112106323,319,3
MC1R,13.342484474182129,0.12223591655492783,0.20807343023236802,0.37052080035209656,291,3
MDH2,13.970703125,0.12371883541345596,0.30802798241674345,0.2666555345058441,220,3
MFGE8,11.429373741149902,0.10582144558429718,0.0670858975109591,0.5896188616752625,424,3
MIA,11.758694648742676,0.10528864711523056,0.2692762103973017,0.3611869513988495,310,3
MRPL47,15.2379732131958,0.13398024439811707,0.36428054659177017,0.14182761311531067,166,3
MT2A,16.091583251953125,0.14637261629104614,0.04370333427892095,0.49465212225914,211,3
MYC,27.361248016357422,0.234946608543396,0.19434883309448336,0.24876268208026886,68,3
NACA,29.0196475982666,0.2472800761461258,0.3183903719348311,0.07493027299642563,42,2
NCL,23.33894157409668,0.2023414522409439,0.22923917205049849,0.2994479238986969,74,3
NDUFA13,16.512432098388672,0.14632412791252136,0.2680502231926955,0.29107528924942017,153,3
NEAT1,13.161449432373047,0.11889263987541199,0.20740754158500282,0.3341168165206909,256,3
NGFR,13.257584571838379,0.11935139447450638,0.23667275470486113,0.22644102573394775,239,3
NME1,12.238565444946289,0.10693436115980148,0.35909571406767576,0.0438028983771801,263,3
NMRK1,13.212597846984863,0.12081070244312286,0.16141810471810628,0.45403894782066345,290,3
NOLC1,20.675310134887695,0.18158327043056488,0.05666994446273338,0.6222977042198181,108,3
NONO,14.95393180847168,0.13501329720020294,0.2821134080541709,0.34720858931541443,231,3
NPC1,16.06635093688965,0.1492939293384552,0.17028105763036652,0.6152096390724182,320,3
NPC2,12.030997276306152,0.1034068763256073,0.383017797276926,0.09091542661190033,286,3
NSG1,12.5780029296875,0.11554840952157974,0.20106319687848964,0.40853187441825867,292,3
NT5E,11.10533618927002,0.09952196478843689,0.29239102835020897,0.2580329477787018,358,3
