gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
CBARP,4.1513447761535645,0.06892552226781845,-0.028674589470028877,0.017692241817712784,129,False,
DOCK8,4.43280553817749,0.006620372179895639,-0.15829065442085266,1.0286319255828857,95,False,
FANCM,4.08687162399292,0.0031035365536808968,-0.16550783812999725,0.06625676155090332,120,False,
PCDH7,4.820515155792236,0.02058229222893715,0.04249034821987152,0.28634458780288696,78,True,0.41289782244556117
TCF19,5.434627532958984,0.008206804282963276,-0.03458333760499954,0.11745688319206238,78,True,0.07705192629815745
EIF5,4.896756172180176,0.06011505424976349,0.07213671505451202,1.5378230810165405,75,True,0.6331658291457287
EFR3A,4.066619873046875,0.011095919646322727,-0.03799549862742424,0.3113231658935547,123,False,
AQP11,4.522019386291504,0.016574475914239883,0.0701916366815567,0.004071901552379131,90,False,
PIK3R1,3.5187458992004395,0.09740470349788666,0.03928634524345398,0.5628969073295593,165,False,
MAPK1,8.524420738220215,0.11180321872234344,0.597955584526062,0.3334880769252777,109,True,0.8040201005025126
GHITM,4.6047682762146,0.030796553939580917,-0.1484924703836441,0.829072892665863,79,False,
ETS2,4.740767478942871,0.0741427093744278,0.05618903413414955,0.132538840174675,93,True,0.6649916247906198
BYSL,6.373216152191162,0.18640975654125214,0.1840321570634842,0.16015319526195526,73,True,0.8433835845896147
HLA-DOB,4.567783355712891,0.09323358535766602,0.049599844962358475,0.006784097291529179,81,False,
STK11,4.228757381439209,0.03318393602967262,-0.04185377061367035,0.16607317328453064,108,False,
NFKBIA,4.972754001617432,0.07237236201763153,0.12722696363925934,1.8379466533660889,99,True,0.7420435510887773
PRDM1,4.347461223602295,0.12050525844097137,0.0678536519408226,0.4382716715335846,130,False,
ATXN7L3,4.006423473358154,0.03653495013713837,-0.08899378776550293,0.16789667308330536,107,False,
RPN1,5.507136344909668,0.12869030237197876,0.09241248667240143,0.5696831345558167,78,True,0.7646566164154104
HLA-E,4.874510765075684,0.038959845900535583,-0.027807973325252533,1.7756484746932983,79,True,0.2897822445561139
ZEB2,4.997632026672363,0.0859110951423645,-0.02263406105339527,1.1567108631134033,84,True,0.4581239530988275
GABRG2,4.734665870666504,0.030193092301487923,0.13455325365066528,0.05329601839184761,115,True,0.6348408710217756
HLA-A,5.036798000335693,0.03782656416296959,0.04104907438158989,2.6489417552948,86,True,0.4514237855946399
GYPC,4.633451461791992,0.036145806312561035,0.020830374211072922,0.9291742444038391,75,False,
PRF1,5.464381217956543,0.08749275654554367,0.03160157799720764,0.03944242745637894,63,True,0.5644891122278057
CSGALNACT1,5.649535655975342,0.08534479141235352,0.09226766228675842,0.03974918648600578,66,True,0.6557788944723618
STK4,3.605327844619751,0.028422914445400238,-0.036694176495075226,0.3229670226573944,131,False,
PRKRA,4.029757022857666,0.061831384897232056,-0.18505601584911346,0.1296205371618271,98,False,
FLOT1,4.101957321166992,0.03013642318546772,-0.03758086636662483,0.30193662643432617,91,False,
NFATC2,4.983535289764404,0.06662911176681519,0.013336571864783764,0.0627942904829979,75,True,0.4991624790619765
NFKBIE,4.8053202629089355,0.10327188670635223,0.047283437103033066,0.6047602891921997,96,True,0.7261306532663316
HSP90B1,5.631186008453369,0.034474242478609085,0.017450105398893356,1.528669834136963,87,True,0.31993299832495814
P2RY11,5.94095516204834,0.12799513339996338,0.06450221687555313,0.059980787336826324,68,True,0.6901172529313233
TAP2,3.711012125015259,0.06134277582168579,-0.01207442581653595,0.3560870885848999,133,False,
IL18R1,4.490645885467529,0.004351126030087471,-0.0013464335352182388,0.22811968624591827,91,False,
KCNU1,5.246037483215332,0.080272376537323,0.048966482281684875,,72,True,0.5946398659966499
BCL10,4.731926441192627,0.1768684685230255,0.07844691723585129,0.15070794522762299,85,True,0.8911222780569514
GSDMC,4.511584758758545,0.11367574334144592,0.08336206525564194,,91,False,
PRKCQ,4.487156867980957,0.058178018778562546,-0.03836476057767868,0.010274730622768402,89,False,
RFWD2,5.592374324798584,0.020368453115224838,0.07799701392650604,,68,True,0.3844221105527638
MAP3K8,3.976790189743042,0.001956483582034707,-0.031750839203596115,0.4628879725933075,113,False,
LGALS9,5.700231552124023,0.034252628684043884,0.06961015611886978,0.6359004378318787,83,True,0.44472361809045224
CASP10,5.486607074737549,0.04972328245639801,-0.2038891613483429,0.11036752164363861,58,True,0.1984924623115578
RNF31,4.571737766265869,0.05297531187534332,-0.022516930475831032,0.006555221509188414,85,False,
VAMP1,5.313628196716309,0.06156284734606743,0.15475991368293762,0.031615663319826126,89,True,0.6892797319932998
DLG5-AS1,4.197810173034668,0.11391406506299973,-0.004034451209008694,,101,False,
MITF,4.505547046661377,0.10272633284330368,0.02340666949748993,0.07910780608654022,96,False,
