gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
PET100,0.2546873949745679,0.28093732263600524,-0.018226961138390174,146,12.673728942871094,0.2902819812297821,0.7773109243697479,True,False
PFDN4,0.11857214636196949,0.07939689033098973,-0.003447292312639775,284,8.338471412658691,0.0228287931531667,,False,False
PFN1,0.3685233629888702,0.34817736152280093,-0.038309220719743665,124,12.337449073791504,0.1818896234035492,0.5798319327731092,True,False
PIK3IP1,0.19410567137088103,0.3314940209318196,0.045792848365555194,229,9.15333652496338,0.1420153826475143,,False,False
POLD2,0.5434678580569668,0.11719705881518626,0.037994358270792006,69,18.124303817749023,0.012796607799828,0.0840336134453781,True,False
PPA1,0.35728606583311007,0.11111416493250684,-0.01898473531854783,56,18.82063102722168,0.0601422376930713,0.2563025210084034,True,False
PPIA,0.1827571218096186,0.05168161178660449,-0.0006646147779083197,244,8.911170959472656,0.096405416727066,,False,False
PRELID3B,0.5441062382802858,0.02422457351673763,0.009748756860672189,46,23.52468681335449,0.0019650203175842,0.2983193277310924,True,False
PROS1,0.11407894447881298,0.17655084125499415,-0.003923589976949342,199,8.466682434082031,0.0227916929870843,,False,False
PSAP,0.1959581538047224,0.21124093109563943,-0.025977591060232747,330,8.908561706542969,0.1647564321756363,,False,False
PSMB8-AS1,0.19619798414246167,0.2695920390365058,-0.0027018845906102706,225,8.927910804748535,0.1488212794065475,,False,False
PTMA,0.25847685068857074,0.5889693196670631,0.04949161101729801,226,10.001346588134766,0.3698595464229584,0.9915966386554622,True,False
PUF60,0.28785089568463385,0.3707562603631037,0.06852255456854102,109,13.180953025817873,0.298799067735672,0.7436974789915967,True,False
PYGB,0.17956957771156756,0.17831356626088127,-0.026653841953144502,230,9.015373229980469,0.0993795916438102,,False,False
RAB27A,0.16695504689596455,0.17253458703620786,0.0022241646788433433,268,8.91536808013916,0.1957060694694519,,False,False
RB1,0.16837986057031773,0.47477819008701594,0.029701111191977863,289,8.94908618927002,0.0023678238503634,,False,False
RBP7,0.10316767870889734,0.6595530330436319,0.032615308359643845,300,8.272185325622559,0.1707494705915451,,False,False
RNASEH2A,0.3367986311620703,0.25324333408557825,0.009448782924173097,157,13.819657325744627,0.1030778735876083,0.5126050420168067,True,False
RNF213,0.10906278408157151,0.11822151211440737,0.01619286218763068,260,8.821274757385254,0.1296538263559341,,False,False
ROMO1,0.44268006544743665,0.04434584408926409,0.014849154856883354,68,17.038330078125,0.2002858072519302,0.7521008403361344,True,False
RPSA,0.19374685450126133,0.11634440926315218,-0.034719775860482284,142,11.51593017578125,0.0287223625928163,0.315126050420168,True,False
RRS1,0.23216018398739063,0.04481558169127609,-0.011512586680811529,90,15.779045104980469,0.1299498528242111,0.542016806722689,True,False
RTP4,0.13465701560323382,0.07384075787868478,0.025923081565493018,332,7.668420791625977,0.1389628201723098,,False,False
RUVBL2,0.3785451612918614,0.38139788882551295,-0.023228391632424666,27,37.23873519897461,0.0724326148629188,0.2899159663865546,True,False
S100A6,0.16949485368132608,0.3365583504935264,0.022048422168478982,249,8.215313911437988,0.091094933450222,,False,False
S100B,0.10333470303042475,0.5399597081420932,0.020801237641677146,277,8.200884819030762,0.0525876991450786,,False,False
SAE1,0.5481529623647327,0.2161483413543415,-0.08046298166334147,38,22.937124252319336,0.0775284767150878,0.4579831932773109,True,False
SAT1,0.22689710510753466,0.039444294589184074,0.012771133275157073,218,9.170238494873049,0.0691185593605041,,False,False
SCARB2,0.1281053814843352,0.014550258073690132,-0.006501401668788469,251,9.213961601257324,0.0815935954451561,,False,False
SDC3,0.13230409375743135,0.11278784452481928,0.01094755631776693,317,7.922345638275146,0.1154477819800376,,False,False
SDCBP,0.23374885807285542,0.2754070077099443,0.01528552829292118,259,8.46314525604248,0.1788800209760666,,False,False
SEC11C,0.23318762210379493,0.09280381382746761,0.01215934296843324,252,8.408499717712402,0.2623871266841888,,False,False
SERPINA3,0.17256914196094933,0.08544958375120382,-0.030811110003830928,232,9.162965774536133,0.1147945150732994,,False,False
SERPINE2,0.16528262406652267,0.6856536719305423,0.049344696582983016,226,9.212787628173828,0.1357605010271072,,False,False
SERPINF1,0.16824927782015023,0.3388543896833739,-0.025306084048840122,241,8.351221084594727,0.0831679552793502,,False,False
SET,0.20185322379288712,0.3686710629871914,-0.032073438009594356,196,12.145081520080566,0.2670032680034637,0.9033613445378152,True,False
SGK1,0.16838236547280055,0.17593463974733467,0.004254281359348984,262,8.948904991149902,0.1573140025138855,,False,False
SHMT2,0.15961700562456754,0.004540095970475992,0.012793068510127662,203,9.657174110412598,0.0834842398762703,0.634453781512605,True,False
SINHCAF,0.3242168014402541,0.03476883651292025,0.05431702866964613,173,12.977023124694824,0.2806172370910644,0.8319327731092436,True,False
SLC19A1,0.16663675036567208,0.044203252775294355,-0.010003679294308121,198,9.534263610839844,0.0653717815876007,0.6050420168067226,True,False
SLC22A18,0.151267288793717,0.38972234599887334,0.024699575038986305,355,8.040626525878906,0.1275046020746231,,False,False
SLC25A13,0.10501342754142223,0.06318722067866407,0.003270627416611512,269,8.757779121398926,0.1662631183862686,,False,False
SLC26A2,0.13804525023548767,0.4642305920547273,0.03366536797413433,263,8.44198226928711,0.3646188378334045,,False,False
SLC5A3,0.13045026319196773,0.4957633241342578,0.03623240442397413,271,8.761462211608887,0.050714373588562,,False,False
