gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
SPINT1,8.540217399597168,0.281634122133255,0.45168983336030916,0,0.0257683414965868,208,3,False,,,
SSR2,10.892936706542969,0.17935733497142792,0.44418046152880414,1,5.451352596282959,151,3,True,33.1685443668993,40.10418743768692,0.8319327731092436
ST3GAL6-AS1,8.631186485290527,0.16364553570747375,0.4513359768047413,0,0.02294890396296978,213,3,False,,,
ST6GALNAC2,9.497844696044922,0.009778852574527264,0.4064085004208359,0,0.0030727859120815992,158,3,True,-40.6516450648056,39.83349950149549,0.5
STAT1,16.82400894165039,0.9244171977043152,0.4730387734182176,37,5.419736862182617,239,3,True,51.155668708161244,32.67547357926219,0.8739495798319328
STAT3,10.614304542541504,0.2192973792552948,0.4981646713011436,1,2.648198366165161,179,3,True,44.17015382424155,52.90777666999001,0.9117647058823529
STOM,8.6491117477417,0.19435587525367737,0.3011535595899744,0,1.9301698207855225,224,3,False,,,
STX7,9.310327529907227,0.2161841094493866,0.355358733266495,0,0.8558405041694641,202,3,False,,,
TAPBP,9.688850402832031,0.27241820096969604,0.3769711137744069,1,3.6105575561523438,176,3,True,57.512070930066926,20.526919242273152,0.8361344537815125
TAPBPL,9.550426483154297,0.2691904902458191,0.4821028054156513,0,0.2287251055240631,211,3,True,57.84755020652327,63.93170488534394,0.9915966386554622
TFAP2A,9.38054370880127,0.028243819251656532,0.5015732977169185,0,2.1204230785369873,203,3,False,,,
TGFB1,8.347461700439453,0.15897312760353088,0.4737336355938953,1,2.9128072261810303,238,3,False,,,
TIMM50,13.057225227355957,0.09082271158695221,0.03809463219010686,0,3.0551834106445312,113,3,True,-18.006437829369034,-42.214356929212386,0.2184873949579832
TIMP1,9.802408218383789,0.204353928565979,0.3823530613891455,1,7.012452125549316,205,3,True,46.677396382281714,21.023928215353912,0.7983193277310925
TIMP2,9.725319862365723,0.10026687383651733,0.4331396935177007,1,4.392159938812256,155,3,True,1.1782011109528412,46.92572283150545,0.7058823529411764
TIMP3,9.437666893005371,0.2535618245601654,0.4018496718681048,1,2.4432895183563232,170,3,True,53.84915966386553,35.73529411764703,0.8949579831932772
TM4SF1,10.405046463012695,0.054167378693819046,0.2879570449317109,0,3.6059460639953613,199,3,True,-31.16210653753027,-8.889830508474603,0.3445378151260504
TMED10,20.016277313232422,0.07486136257648468,0.567395667247533,5,4.074592113494873,54,3,True,-31.346745477852153,42.97008973080756,0.5546218487394958
TMEM173,9.157398223876953,0.1122157871723175,0.4773448016316239,0,0.3006221354007721,194,3,False,,,
TOP1MT,11.718205451965332,0.23652490973472595,-0.06014904522881689,0,0.7437148690223694,179,3,True,41.49758581398661,-45.70538384845466,0.46638655462184875
