gene,ISCI_core,p_value,q_value
ARL6IP1,0.9599650295932078,0.01098901098901099,0.9681849681849682
PGP,0.9599201342411611,0.012987012987012988,0.9681849681849682
PCGF1,0.95929958333264,0.00999000999000999,0.9681849681849682
SMAP2,0.9592115126363049,0.016983016983016984,0.9681849681849682
ATXN2L,0.9589234020596308,0.012987012987012988,0.9681849681849682
ZMYND8,0.9587611691991248,0.006993006993006993,0.9595404595404595
SEC22A,0.9584921586886781,0.014985014985014986,0.9681849681849682
NAB2,0.9581689491551713,0.012987012987012988,0.9681849681849682
MTA2,0.9578163312322425,0.017982017982017984,0.9681849681849682
TATDN2,0.957803632090088,0.008991008991008992,0.9681849681849682
UFC1,0.9577160236078233,0.012987012987012988,0.9681849681849682
KPNA4,0.957375195325613,0.007992007992007992,0.9681849681849682
COX6C,0.9572096926215169,0.01098901098901099,0.9681849681849682
SHLD1,0.9571690187626628,0.01098901098901099,0.9681849681849682
CDK2,0.9571287904016283,0.014985014985014986,0.9681849681849682
MAX,0.9571180620171439,0.005994005994005994,0.9463960696837409
DDX17,0.9570386225955501,0.015984015984015984,0.9681849681849682
MLST8,0.9568548028080315,0.011988011988011988,0.9681849681849682
DOLPP1,0.9565536764853393,0.016983016983016984,0.9681849681849682
ACTR2,0.9559567511313228,0.012987012987012988,0.9681849681849682
CAPZA1,0.9558679016788052,0.014985014985014986,0.9681849681849682
PAXIP1,0.9556903431965722,0.014985014985014986,0.9681849681849682
VHL,0.9555725730572612,0.014985014985014986,0.9681849681849682
ALKBH5,0.9554733344842631,0.01098901098901099,0.9681849681849682
SAMD1,0.9552779010886723,0.011988011988011988,0.9681849681849682
FBXW7,0.955210671504634,0.014985014985014986,0.9681849681849682
ATP5F1A,0.9551447452981251,0.007992007992007992,0.9681849681849682
AMD1,0.9550362289894376,0.015984015984015984,0.9681849681849682
IAH1,0.9545160487502963,0.02197802197802198,0.9681849681849682
GMFG,0.954413789596597,0.011988011988011988,0.9681849681849682
UBA6,0.9543983967510047,0.011988011988011988,0.9681849681849682
PPP1R12A,0.9543543563110681,0.004995004995004995,0.9463960696837409
EGLN1,0.9541943278973141,0.013986013986013986,0.9681849681849682
LAMTOR4,0.9541704035682051,0.015984015984015984,0.9681849681849682
MED13,0.9538929309961244,0.015984015984015984,0.9681849681849682
BRD7,0.9536316420479,0.011988011988011988,0.9681849681849682
FXYD5,0.9534131692169854,0.014985014985014986,0.9681849681849682
CASC3,0.9531430506492828,0.014985014985014986,0.9681849681849682
OXA1L,0.9529465100980972,0.012987012987012988,0.9681849681849682
CARM1,0.9527082328883595,0.012987012987012988,0.9681849681849682
TXNL1,0.9526857999836081,0.01998001998001998,0.9681849681849682
MAP2K3,0.9523815659274366,0.011988011988011988,0.9681849681849682
AHR,0.9523762536408253,0.015984015984015984,0.9681849681849682
PPP6R2,0.9521010864044972,0.017982017982017984,0.9681849681849682
SLC16A1,0.9520988724792088,0.012987012987012988,0.9681849681849682
C11orf58,0.9520582134735728,0.011988011988011988,0.9681849681849682
GMEB1,0.9520237681212564,0.012987012987012988,0.9681849681849682
NCBP3,0.9519076922803055,0.014985014985014986,0.9681849681849682
YTHDF2,0.9518924602172175,0.015984015984015984,0.9681849681849682
CBLB,0.9515272762375849,0.00999000999000999,0.9681849681849682
RPRD2,0.951524316647971,0.015984015984015984,0.9681849681849682
PTPA,0.9513773797027224,0.017982017982017984,0.9681849681849682
RESF1,0.9513757200452131,0.029970029970029972,0.9785037097290062
C2CD5,0.9512668583535189,0.01998001998001998,0.9681849681849682
INTS6,0.950949355919932,0.012987012987012988,0.9681849681849682
VAMP8,0.950880616238103,0.015984015984015984,0.9681849681849682
TBC1D2B,0.9506285886008093,0.015984015984015984,0.9681849681849682
N4BP2L2,0.9506099368254174,0.017982017982017984,0.9681849681849682
MANF,0.9505354407405094,0.01898101898101898,0.9681849681849682
CLCC1,0.9504730518590383,0.023976023976023976,0.9681849681849682
MED23,0.9503766186674172,0.01098901098901099,0.9681849681849682
EEF1AKMT2,0.9503291643468228,0.015984015984015984,0.9681849681849682
FUBP1,0.9503001922713451,0.016983016983016984,0.9681849681849682
SSR3,0.9501124751445869,0.02197802197802198,0.9681849681849682
SELENOW,0.95008719053901,0.016983016983016984,0.9681849681849682
ASXL1,0.9499644273823536,0.016983016983016984,0.9681849681849682
FBXL3,0.9499397191503647,0.01898101898101898,0.9681849681849682
MOGS,0.949857785782613,0.00999000999000999,0.9681849681849682
VKORC1,0.9498438434516602,0.01898101898101898,0.9681849681849682
NSUN6,0.9497585494665244,0.012987012987012988,0.9681849681849682
CLINT1,0.949697202520651,0.015984015984015984,0.9681849681849682
G3BP2,0.9495917574013509,0.02097902097902098,0.9681849681849682
SAMHD1,0.9495678625195638,0.01998001998001998,0.9681849681849682
UBE2D2,0.9493535098338355,0.014985014985014986,0.9681849681849682
ACADM,0.9492036965538537,0.017982017982017984,0.9681849681849682
DHX9,0.9488493517537199,0.006993006993006993,0.9595404595404595
DCAF5,0.948804377148681,0.017982017982017984,0.9681849681849682
ARPC2,0.9487738378543364,0.01998001998001998,0.9681849681849682
ELOVL5,0.9486270093926424,0.016983016983016984,0.9681849681849682
FBXO11,0.9479265438880449,0.013986013986013986,0.9681849681849682
PDCL,0.9478927929661777,0.023976023976023976,0.9681849681849682
C6orf120,0.9476246105703643,0.015984015984015984,0.9681849681849682
IDH3B,0.9471118059204143,0.016983016983016984,0.9681849681849682
SAMD9L,0.9470296935760357,0.014985014985014986,0.9681849681849682
STRAP,0.9469781842798382,0.01898101898101898,0.9681849681849682
EDF1,0.9469578318485945,0.01998001998001998,0.9681849681849682
MBTPS1,0.9466289771632912,0.014985014985014986,0.9681849681849682
UBE2L6,0.9465468856570479,0.02097902097902098,0.9681849681849682
